"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"SPICEMODEL";"SPICEPREFIX";
"AUX-IN";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
"BACKUP-CAM";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
"BCKUPCAMFUSE";".25";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"BMS";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
"BMSINPUT";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
"BMSOUTFUSE";"1.2A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"BUCKPROTECTDIODE";"SL44HE3";"SL44HE3";"SMC";"";"";"";"";"";"";"";"";"";
"CAN1";"1200845179";"1200845179";"1200845179";"REC U12 5P AC FE M16 BM SOL SHD";"REC U12 5P AC FE M16 BM SOL SHD";"24.8mm";"Molex";"1200845179";"538-1200845179";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-1200845179";"";"";
"CAN2";"1200845179";"1200845179";"1200845179";"REC U12 5P AC FE M16 BM SOL SHD";"REC U12 5P AC FE M16 BM SOL SHD";"24.8mm";"Molex";"1200845179";"538-1200845179";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-1200845179";"";"";
"CANFUSE";"1.3 A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"FANFUSE";"6 A";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";"";"";"";"";"";"";"";
"FANS";"15-31-1026";"15-31-1026";"15311026";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"Molex STANDARD .093 Series, Series Number 5025, 6.7mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 12A";"15mm";"Molex";"15-31-1026";"538-15-31-1026";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-15-31-1026";"";"";
