"Part";"Value";"Device";"Package";"Description";"";
"C1";".1µF";"CAP0805";"0805";"Capacitor";"";
"C2";".1µF";"CAP0805";"0805";"Capacitor";"";
"C3";".1µF";"CAP0805";"0805";"Capacitor";"";
"C4";".1µF";"CAP0805";"0805";"Capacitor";"";
"C5";"";"CAP0805";"0805";"Capacitor";"";
"C6";"";"CAP0805";"0805";"Capacitor";"";
"C7";".1µF";"CAP0805";"0805";"Capacitor";"";
"C8";".1µF";"CAP0805";"0805";"Capacitor";"";
"CAN_CONN";"39-30-04?";"39-30-04?";"39-30-?04?";"HEADER";"";
"F1";"SMD-MICRO-FUSE-BLOCK";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";
"F2";"SMD-MICRO-FUSE-BLOCK";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";
"F3";"SMD-MICRO-FUSE-BLOCK";"SMD-MICRO-FUSE-BLOCK";"OMNIBLOK";"";"";
"R2";"120O";"RESISTOR0805-RES";"0805";"Resistor";"";
"U$1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT223";"";"";
"U$2";"DUE(NORMAL)";"DUE(NORMAL)";"DUE(NORMAL)";"";"";
"U$3";"NCP1117ST33T3G";"NCP1117ST33T3G";"SOT223";"";"";
"U$6";"MCP2562";"MCP2562";"SOIC8";"";"";
"U$7";"MCP2515";"MCP2515";"SO-18W";"";"";
"Y1";"";"CRYSTALHC49US";"HC49US";"Various standard crystals. Proven footprints.";"";
